Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Navy,,L,,,YcYFxVOAPWl7AP1nT_1643,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Navy,,XL,,,Gk6ZzLQ1cs7f5Vy8c_1590,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Navy,,2XL,,,alxQOfWA0lU87m58a_5720,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Navy,,3XL,,,8AYKDA0cTVraeqg6g_6891,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Purple,,S,,,vmRZoFX3kJ5HgEKTj_807,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Purple,,M,,,DRnICY2KoBnjEzV6f_1890,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Purple,,L,,,LluNILJz6ZT4qIZch_8073,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Purple,,XL,,,UPxPDzxauXgub1w65_7693,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Purple,,2XL,,,3OcfBZOrUZlIt1tY6_1816,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Purple,,3XL,,,ArkN6E9AioJ8fJHWK_22,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Red,,S,,,qupZ8DmikJsVm1Vm6_3789,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Red,,M,,,acsebpXeTE1saTxyQ_8650,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Red,,L,,,oFnmw5D5acRSxQaat_9788,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Red,,XL,,,uUQ8JQzvaMBnIKcxM_6700,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Red,,2XL,,,y14vRyBke4nFwc4y7_9542,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Red,,3XL,,,SsTVp4ol37CoPkwIt_345,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Royal,,S,,,wcPVy7gd6xah8Cz3B_8687,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Royal,,M,,,AxmBS5N2TE5fDEQK4_7980,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Royal,,L,,,SSmPohq6Az7OxwDZ2_6043,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Royal,,XL,,,4vOpa2jCrRHD6BBiP_6817,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Royal,,2XL,,,yMNQzMhyMfYbBQohz_5804,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Royal,,3XL,,,tfUHBCmSZu7NUJHwK_1661,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Sport Grey,,S,,,LjzN8tDLxUawa7GFZ_5377,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Sport Grey,,M,,,q66dgtrGz5QwH5Po9_3268,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Sport Grey,,L,,,LwrPoFyR7M3LmdbM2_866,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Sport Grey,,XL,,,S4jiNQoSW9fkm7SYJ_6202,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Sport Grey,,2XL,,,rShjXrPl9ISjFwKiw_1722,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Sport Grey,,3XL,,,34dDAnfw2vVlGyjVo_9246,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,White,,S,,,7sG0DLIWinXLQpbgy_524,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,White,,M,,,jeM2GebF49dKe7a3f_7866,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,White,,L,,,k1nIR0NqMzxTPxK8w_8352,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,White,,XL,,,8hQ7jEuYcM3szbZYw_1898,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,White,,2XL,,,tQkIPgNkAYUKaOQeX_9123,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,White,,3XL,,,Hm8mqrGXb9IyCkBlD_2095,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
white-bottle-with-stainless-steel-interior,White bottle with stainless steel interior,"Great for the environment and perfect for everyday use, these 17oz bottles feature our design and have an easy-to-clean interior made from from food grade stainless steel.",THE ARTS WITH G,,"","imported_from_etsy, imported_from_etsy_12847",true,Color,White,Size,17 OZ,,,c2LwcSTUOrtaDmv0C_9058,0.0,shopify,continue,manual,29.18,,true,true,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4088181990_4veu.jpg?v=1667373600,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
white-bottle-with-stainless-steel-interior,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4088181972_l0ev.jpg?v=1667373600,2,,,,,,,,,,,,,,,,,,,,,,,,
white-bottle-with-stainless-steel-interior,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4088181950_jpul.jpg?v=1667373600,3,,,,,,,,,,,,,,,,,,,,,,,,
15mil-canvas-mounted-on-stretcher-bars-4,15mil Canvas mounted on stretcher bars,Canvas Print								,THE ARTS WITH G,,"","imported_from_etsy, imported_from_etsy_12847",true,Color,White,Size,8 X 8,,,uC1t21Ray190aonbT_3044,0.0,shopify,continue,manual,30.52,,true,true,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4139194877_rzht.jpg?v=1667373595,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
15mil-canvas-mounted-on-stretcher-bars-3,15mil Canvas mounted on stretcher bars,Canvas Print								,THE ARTS WITH G,,"","imported_from_etsy, imported_from_etsy_12847",true,Color,White,Size,8 X 8,,,GbMtRt315TRKGaMdX_5448,0.0,shopify,continue,manual,31.39,,true,true,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4089395150_6z77.jpg?v=1667373594,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
ilumipix™-aluminum-photo-panel-1,ilumipix™ aluminum photo panel,HD Photo Panel								,THE ARTS WITH G,,"","imported_from_etsy, imported_from_etsy_12847",true,Color,White,Size,8 X 10,,,EiNxWRZPdu1nZwMd9_5555,0.0,shopify,continue,manual,22.61,,true,true,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4089385322_n2mt.jpg?v=1667373594,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
15mil-canvas-mounted-on-stretcher-bars-2,15mil Canvas mounted on stretcher bars,Canvas Print								,THE ARTS WITH G,,"","clcok, imported_from_etsy, imported_from_etsy_12847, photography, Quakertown, time, vintage",true,Color,White,Size,8 X 8,,,Ck2kF9ObNb2idtNzz_8093,0.0,shopify,continue,manual,30.52,,true,true,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4149991701_f1id_7d24312e-2a07-480b-858d-5e3b816f7211.jpg?v=1667373578,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
15mil-canvas-mounted-on-stretcher-bars-1,15mil Canvas mounted on stretcher bars,"This print was taken in Pottstown PA and this town is home to one of PA's oldest brewing companies Yuengling and Sons Brewing CO, and this photo is of the old Yuengling Factory.  ",THE ARTS WITH G,,"","imported_from_etsy, imported_from_etsy_12847",true,Color,White,Size,8 X 8,,,32MGGCuOdGG9cPQlO_9052,0.0,shopify,continue,manual,30.52,,true,true,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4147439921_5wi1.jpg?v=1667373576,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
clear-glass-mason-jar-with-handle,Clear glass mason jar with handle,12oz Clear Mason Jars,THE ARTS WITH G,,"","imported_from_etsy, imported_from_etsy_12847",true,Color,Clear,Size,12OZ,,,fPQRpy8I1NUoWJhXh_4673,0.0,shopify,continue,manual,16.68,,true,true,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4140219073_smzo.jpg?v=1667373576,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
clear-glass-mason-jar-with-handle,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4140219037_pu55.jpg?v=1667373576,2,,,,,,,,,,,,,,,,,,,,,,,,
clear-glass-mason-jar-with-handle,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4140219015_cm6h.jpg?v=1667373576,3,,,,,,,,,,,,,,,,,,,,,,,,
15mil-canvas-mounted-on-stretcher-bars,15mil Canvas mounted on stretcher bars,Canvas Print								,THE ARTS WITH G,,"","imported_from_etsy, imported_from_etsy_12847",true,Color,White,Size,8 X 8,,,NWBja3tbRYPq9xpa1_1681,0.0,shopify,continue,manual,34.88,,true,true,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4142608853_or9w.jpg?v=1667373574,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
ilumipix™-aluminum-photo-panel,ilumipix™ aluminum photo panel,HD Photo Panel								,THE ARTS WITH G,,"","imported_from_etsy, imported_from_etsy_12847",true,Color,White,Size,8 X 10,,,K0uDsyVwuwNa9CcRG_5109,0.0,shopify,continue,manual,21.98,,true,true,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4096882696_c5q3.jpg?v=1667373574,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
gildan-youth-heavy-blend-13-3-oz-lin-yd-50-50-hood-g185b,"Gildan Youth Heavy Blend 13.3 oz./lin. yd., 50/50 Hood | G185B","Features:<br><br>	● 50% cotton, 50% polyester<br>	● pill-resistant air jet yarn<br>	● double-needle stitching throughout<br>	● double-lined hood<br>	● pouch pocket<br>	● 1x1 ribbed cuffs and waistband with spandex<br>	● no drawcord for added safety",THE ARTS WITH G,,"","imported_from_etsy, imported_from_etsy_12847",true,Color,Black,Size,L,,,YgdykdIDS2BD2PHpx_4173,0.0,shopify,continue,manual,43.82,,true,true,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4159628291_iot8.jpg?v=1667373561,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
gildan-youth-heavy-blend-13-3-oz-lin-yd-50-50-hood-g185b,,,,,,,,,Black,,XL,,,1wwTWYNVMqW42wJxC_4974,0.0,shopify,continue,manual,43.82,,true,true,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4159628207_7kcl.jpg?v=1667373561,2,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-youth-heavy-blend-13-3-oz-lin-yd-50-50-hood-g185b,,,,,,,,,Cardinal Red,,L,,,N9dTinjtNU4mAEGS9_7781,0.0,shopify,continue,manual,43.82,,true,true,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4111967906_7qcy.jpg?v=1667373561,3,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-youth-heavy-blend-13-3-oz-lin-yd-50-50-hood-g185b,,,,,,,,,Cardinal Red,,XL,,,tTP39MuAQugOXsNTE_8313,0.0,shopify,continue,manual,43.82,,true,true,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4159628169_ghjv.jpg?v=1667373561,4,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-youth-heavy-blend-13-3-oz-lin-yd-50-50-hood-g185b,,,,,,,,,Carolina Blue,,L,,,qaDNRCGQoxQztla3Y_3880,0.0,shopify,continue,manual,43.82,,true,true,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4111967816_gerd.jpg?v=1667373561,5,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-youth-heavy-blend-13-3-oz-lin-yd-50-50-hood-g185b,,,,,,,,,Carolina Blue,,XL,,,SSh6lZrKwtlVkv2ZC_1688,0.0,shopify,continue,manual,43.82,,true,true,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4111967772_kq1g.jpg?v=1667373561,6,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-youth-heavy-blend-13-3-oz-lin-yd-50-50-hood-g185b,,,,,,,,,Charcoal,,L,,,LUuFQvTbJ80ejzbzM_7809,0.0,shopify,continue,manual,43.82,,true,true,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4111967738_4ni9.jpg?v=1667373561,7,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-youth-heavy-blend-13-3-oz-lin-yd-50-50-hood-g185b,,,,,,,,,Charcoal,,XL,,,TCMoec3vSgZKFhqjs_5153,0.0,shopify,continue,manual,43.82,,true,true,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4159627981_c5a2.jpg?v=1667373561,8,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-youth-heavy-blend-13-3-oz-lin-yd-50-50-hood-g185b,,,,,,,,,Dark Heather,,L,,,BiEiB8cmFQ3kuuONZ_4164,0.0,shopify,continue,manual,43.82,,true,true,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4159627935_mk44.jpg?v=1667373561,9,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-youth-heavy-blend-13-3-oz-lin-yd-50-50-hood-g185b,,,,,,,,,Dark Heather,,XL,,,KiWmcOtWADNDftn6i_306,0.0,shopify,continue,manual,43.82,,true,true,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4159627903_mcpv.jpg?v=1667373561,10,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-youth-heavy-blend-13-3-oz-lin-yd-50-50-hood-g185b,,,,,,,,,Forest Green,,L,,,0C9ZnQmbr6IpWRm91_7412,0.0,shopify,continue,manual,43.82,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-youth-heavy-blend-13-3-oz-lin-yd-50-50-hood-g185b,,,,,,,,,Forest Green,,XL,,,ux6TRHHwNOlfZLd1D_4264,0.0,shopify,continue,manual,43.82,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-youth-heavy-blend-13-3-oz-lin-yd-50-50-hood-g185b,,,,,,,,,Gold,,L,,,3WuB19GPvatMEIxD0_4339,0.0,shopify,continue,manual,43.82,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-youth-heavy-blend-13-3-oz-lin-yd-50-50-hood-g185b,,,,,,,,,Gold,,XL,,,jiidvXQAaQZMePCpT_2801,0.0,shopify,continue,manual,43.82,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-youth-heavy-blend-13-3-oz-lin-yd-50-50-hood-g185b,,,,,,,,,Irish Green,,L,,,UxQMDr09K7qA550r0_8112,0.0,shopify,continue,manual,43.82,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-youth-heavy-blend-13-3-oz-lin-yd-50-50-hood-g185b,,,,,,,,,Irish Green,,XL,,,peGmOgPDcvGgwN9hC_5120,0.0,shopify,continue,manual,43.82,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-youth-heavy-blend-13-3-oz-lin-yd-50-50-hood-g185b,,,,,,,,,Light Pink,,L,,,ohhYLcrIcKcnYwRen_7968,0.0,shopify,continue,manual,43.82,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-youth-heavy-blend-13-3-oz-lin-yd-50-50-hood-g185b,,,,,,,,,Light Pink,,XL,,,rGkZSlXLzamKTU8XT_3804,0.0,shopify,continue,manual,43.82,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-youth-heavy-blend-13-3-oz-lin-yd-50-50-hood-g185b,,,,,,,,,Maroon,,L,,,fFjDa4tgwzMMRb2mL_8451,0.0,shopify,continue,manual,43.82,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-youth-heavy-blend-13-3-oz-lin-yd-50-50-hood-g185b,,,,,,,,,Maroon,,XL,,,JIWhUYS8A7lmvBr7D_4627,0.0,shopify,continue,manual,43.82,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-youth-heavy-blend-13-3-oz-lin-yd-50-50-hood-g185b,,,,,,,,,Navy,,L,,,1JGVqEZYC8IVgWbV3_8652,0.0,shopify,continue,manual,43.82,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-youth-heavy-blend-13-3-oz-lin-yd-50-50-hood-g185b,,,,,,,,,Navy,,XL,,,vKemyGaQz9JGagpOV_2103,0.0,shopify,continue,manual,43.82,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-youth-heavy-blend-13-3-oz-lin-yd-50-50-hood-g185b,,,,,,,,,Orange,,L,,,9vuHCLbd4Gbv2ddz6_2119,0.0,shopify,continue,manual,43.82,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-youth-heavy-blend-13-3-oz-lin-yd-50-50-hood-g185b,,,,,,,,,Orange,,XL,,,ARBhXbXeIl5y9akre_7766,0.0,shopify,continue,manual,43.82,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-youth-heavy-blend-13-3-oz-lin-yd-50-50-hood-g185b,,,,,,,,,Purple,,L,,,9zzDpMkSlrbIQm42I_4510,0.0,shopify,continue,manual,43.82,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-youth-heavy-blend-13-3-oz-lin-yd-50-50-hood-g185b,,,,,,,,,Purple,,XL,,,L2X3bc6JzH9SQ6Slp_1188,0.0,shopify,continue,manual,43.82,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-youth-heavy-blend-13-3-oz-lin-yd-50-50-hood-g185b,,,,,,,,,Red,,L,,,l9vwIKVlffBGP7B0J_4123,0.0,shopify,continue,manual,43.82,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-youth-heavy-blend-13-3-oz-lin-yd-50-50-hood-g185b,,,,,,,,,Red,,XL,,,232fnfN4C9Y5DS8ee_3379,0.0,shopify,continue,manual,43.82,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-youth-heavy-blend-13-3-oz-lin-yd-50-50-hood-g185b,,,,,,,,,Royal,,L,,,NXdibnzVLFOSKoySg_6769,0.0,shopify,continue,manual,43.82,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-youth-heavy-blend-13-3-oz-lin-yd-50-50-hood-g185b,,,,,,,,,Royal,,XL,,,wDuGr4mGrhyrV1okY_5334,0.0,shopify,continue,manual,43.82,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-youth-heavy-blend-13-3-oz-lin-yd-50-50-hood-g185b,,,,,,,,,Sport Grey,,L,,,tVWr2eNPUdtrk4Jkh_9320,0.0,shopify,continue,manual,43.82,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-youth-heavy-blend-13-3-oz-lin-yd-50-50-hood-g185b,,,,,,,,,Sport Grey,,XL,,,W3v3hPHoBaAi7VnDv_1249,0.0,shopify,continue,manual,43.82,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-youth-heavy-blend-13-3-oz-lin-yd-50-50-hood-g185b,,,,,,,,,White,,L,,,JMxKK6GXWd6n6baoX_2072,0.0,shopify,continue,manual,43.82,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-youth-heavy-blend-13-3-oz-lin-yd-50-50-hood-g185b,,,,,,,,,White,,XL,,,tmyBLRBLDY6uHE6Vy_5863,0.0,shopify,continue,manual,43.82,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
frosted-glass-beer-mug,Frosted glass beer mug,16oz Frosted Beer Mug								,THE ARTS WITH G,,"","imported_from_etsy, imported_from_etsy_12847",true,Color,White,Size,16OZ,,,iQZKZ0SywZEpGdB4s_2741,0.0,shopify,continue,manual,21.36,,true,true,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4152838309_rgji.jpg?v=1667373556,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
frosted-glass-beer-mug,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4105181170_oao6.jpg?v=1667373556,2,,,,,,,,,,,,,,,,,,,,,,,,
frosted-glass-beer-mug,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4152838219_asvs.jpg?v=1667373556,3,,,,,,,,,,,,,,,,,,,,,,,,
bella-canvas-ladies-flowy-racerback-tank-b8800,Bella + Canvas Ladies' Flowy Racerback Tank | B8800,"Fabric:<br><br>	● 3.7 oz., 65% polyester, 35% viscose; 30 singles<br>	● Athletic Heather is 52% polyester, 48% viscose;<br>	● Marble colors are 3.5 oz., 91% poly, 9% combed ringspun cotton, 40 singles<br>	● Stripe colors are 70% rayon, 30% polyester<br><br><br>Features:<br><br>	● Racerback with sheering at seam<br>	● Sideseamed<br>	● Merrowed bottom hem; easy, drapey fit<br>	● Tear-away label<br>								",THE ARTS WITH G,,"","imported_from_etsy, imported_from_etsy_12847",true,Color,Black,Size,XS,,,1uspmVAZF45fDGHK5_425,0.0,shopify,continue,manual,25.46,,true,true,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4107554598_nrqp.jpg?v=1667373556,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
bella-canvas-ladies-flowy-racerback-tank-b8800,,,,,,,,,Black,,S,,,5ixAjbDsfgsZfEqbG_3724,0.0,shopify,continue,manual,25.46,,true,true,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4155210893_h14i.jpg?v=1667373556,2,,,,,,,,,,,,,,,,,,,kg,,,,,
